Year,Team,League,G,RegWPct,PostSeason,W,WPct,AB,R,H,x2B,x3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
2009,San Francisco Giants,NL,40,0.543,0,21,0.525,1416,240,430,93,16,46,233,107,224,28,14,0.304,0.356,0.489,0.846
2009,Los Angeles Angels,AL,35,0.599,1,26,0.765,1240,260,391,93,18,44,250,146,225,40,18,0.315,0.39,0.526,0.916
2009,New York Yankees,AL,35,0.636,1,24,0.706,1202,207,355,75,11,40,194,125,218,30,17,0.295,0.367,0.476,0.843
2008,Tampa Bay Rays,AL,28,0.599,1,18,0.692,968,177,277,64,10,30,161,104,175,36,8,0.286,0.363,0.466,0.829
2008,Oakland Athletics,AL,26,0.466,0,18,0.692,909,160,261,66,8,22,150,116,166,5,3,0.287,0.369,0.45,0.819
2009,Milwaukee Brewers,NL,35,0.494,0,22,0.688,1220,204,342,82,13,50,198,109,232,22,6,0.28,0.345,0.492,0.837
2006,Florida Marlins,NL,31,0.481,0,19,0.679,1102,173,303,72,10,29,154,91,223,32,10,0.275,0.336,0.437,0.773
2007,Detroit Tigers,AL,34,0.543,0,21,0.677,1183,180,343,75,6,31,175,115,213,15,9,0.29,0.357,0.442,0.799
2006,Cincinnati Reds,NL,33,0.494,0,22,0.667,1156,185,322,78,5,33,171,110,222,29,10,0.279,0.352,0.44,0.792
2008,Los Angeles Angels,AL,33,0.617,1,19,0.655,1130,178,326,67,16,31,165,96,212,31,21,0.288,0.345,0.458,0.803
2006,Los Angeles Angels,AL,31,0.549,0,20,0.645,1079,181,319,57,10,38,173,78,171,21,7,0.296,0.345,0.473,0.818
2008,New York Mets,NL,32,0.549,0,20,0.645,1073,140,281,56,9,15,129,111,177,25,8,0.262,0.335,0.373,0.708
2006,San Diego Padres,NL,28,0.543,1,18,0.643,977,203,285,79,9,40,188,134,213,6,13,0.292,0.379,0.514,0.893
2009,Atlanta Braves,NL,33,0.531,0,21,0.636,1135,172,314,67,8,32,161,90,171,17,1,0.277,0.328,0.434,0.763
2006,Philadelphia Phillies,NL,31,0.525,0,19,0.633,1054,155,283,56,5,45,149,87,203,17,8,0.269,0.33,0.459,0.789
2008,Florida Marlins,NL,33,0.522,0,19,0.633,1132,157,286,69,7,29,147,107,229,18,11,0.253,0.322,0.403,0.725
2008,St. Louis Cardinals,NL,29,0.531,0,17,0.63,1017,154,290,58,11,24,138,116,165,16,9,0.285,0.363,0.435,0.798
2008,Cincinnati Reds,NL,33,0.457,0,17,0.63,1137,190,322,63,6,23,176,112,185,20,9,0.283,0.349,0.41,0.758
